2024-09-30T17:11:54-04:00
Running ./build/run_benchmark
Run on (8 X 3592.16 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x4)
  L1 Instruction 32 KiB (x4)
  L2 Unified 256 KiB (x4)
  L3 Unified 8192 KiB (x1)
Load Average: 0.36, 0.90, 1.16
--------------------------------------------------------------------------------------------------
Benchmark                                        Time             CPU   Iterations UserCounters...
--------------------------------------------------------------------------------------------------
BM_libiop_additive_fft/5_mean                 26.4 us         26.4 us          100 items_per_second=37.8778k/s
BM_libiop_additive_fft/5_median               26.4 us         26.4 us          100 items_per_second=37.8994k/s
BM_libiop_additive_fft/5_stddev              0.063 us        0.063 us          100 items_per_second=89.0343/s
BM_libiop_additive_fft/5_cv                   0.24 %          0.24 %           100 items_per_second=0.24%
BM_libiop_additive_fft/6_mean                 37.5 us         37.5 us          100 items_per_second=26.6903k/s
BM_libiop_additive_fft/6_median               37.5 us         37.5 us          100 items_per_second=26.6851k/s
BM_libiop_additive_fft/6_stddev              0.077 us        0.077 us          100 items_per_second=54.6877/s
BM_libiop_additive_fft/6_cv                   0.21 %          0.21 %           100 items_per_second=0.20%
BM_libiop_additive_fft/7_mean                 57.0 us         57.0 us          100 items_per_second=17.5592k/s
BM_libiop_additive_fft/7_median               57.1 us         57.1 us          100 items_per_second=17.5152k/s
BM_libiop_additive_fft/7_stddev              0.308 us        0.308 us          100 items_per_second=95.017/s
BM_libiop_additive_fft/7_cv                   0.54 %          0.54 %           100 items_per_second=0.54%
BM_libiop_additive_fft/8_mean                 94.2 us         94.2 us          100 items_per_second=10.6208k/s
BM_libiop_additive_fft/8_median               94.1 us         94.1 us          100 items_per_second=10.624k/s
BM_libiop_additive_fft/8_stddev              0.152 us        0.152 us          100 items_per_second=17.0814/s
BM_libiop_additive_fft/8_cv                   0.16 %          0.16 %           100 items_per_second=0.16%
BM_libiop_additive_fft/9_mean                  173 us          173 us          100 items_per_second=5.7979k/s
BM_libiop_additive_fft/9_median                172 us          172 us          100 items_per_second=5.82047k/s
BM_libiop_additive_fft/9_stddev               2.38 us         2.24 us          100 items_per_second=73.2412/s
BM_libiop_additive_fft/9_cv                   1.38 %          1.30 %           100 items_per_second=1.26%
BM_libiop_additive_fft/10_mean                 335 us          335 us          100 items_per_second=2.98443k/s
BM_libiop_additive_fft/10_median               336 us          336 us          100 items_per_second=2.97892k/s
BM_libiop_additive_fft/10_stddev             0.974 us        0.974 us          100 items_per_second=8.68664/s
BM_libiop_additive_fft/10_cv                  0.29 %          0.29 %           100 items_per_second=0.29%
BM_libiop_additive_fft/11_mean                 700 us          700 us          100 items_per_second=1.42909k/s
BM_libiop_additive_fft/11_median               700 us          700 us          100 items_per_second=1.42933k/s
BM_libiop_additive_fft/11_stddev              1.21 us         1.21 us          100 items_per_second=2.47075/s
BM_libiop_additive_fft/11_cv                  0.17 %          0.17 %           100 items_per_second=0.17%
BM_libiop_additive_fft/12_mean                1496 us         1496 us          100 items_per_second=668.494/s
BM_libiop_additive_fft/12_median              1498 us         1498 us          100 items_per_second=667.641/s
BM_libiop_additive_fft/12_stddev              5.37 us         5.36 us          100 items_per_second=2.40067/s
BM_libiop_additive_fft/12_cv                  0.36 %          0.36 %           100 items_per_second=0.36%
BM_libiop_additive_fft/13_mean                3206 us         3206 us          100 items_per_second=311.901/s
BM_libiop_additive_fft/13_median              3206 us         3206 us          100 items_per_second=311.886/s
BM_libiop_additive_fft/13_stddev              4.65 us         4.66 us          100 items_per_second=0.453069/s
BM_libiop_additive_fft/13_cv                  0.15 %          0.15 %           100 items_per_second=0.15%
BM_libiop_additive_fft/14_mean                7020 us         7020 us          100 items_per_second=142.456/s
BM_libiop_additive_fft/14_median              7009 us         7009 us          100 items_per_second=142.677/s
BM_libiop_additive_fft/14_stddev              28.5 us         28.5 us          100 items_per_second=0.576295/s
BM_libiop_additive_fft/14_cv                  0.41 %          0.41 %           100 items_per_second=0.40%
BM_libiop_additive_fft/15_mean               15114 us        15114 us          100 items_per_second=66.163/s
